昵称,评论内容,评论时间
卫司瞳Leah,虽然不咋喜欢岳云鹏尤其他在电影里老演奸佞小人，但看完后最喜欢的片段就是他听到报纸上说八国联军打到北京了珍妃死了皇帝和老佛爷下落不明，那一刻他的震惊 错愕 愤怒 万念俱灰，在爱尔兰人的欢声笑语里抬手一柄飞刀刺穿报纸割破对面头目的喉咙 然后大家混战在一起，他带的两个肌肉虬结的练家子在帮派脏乱的后巷里挥刀，数十年勤学苦练的一身武艺好像只为了生命最后那片刻的枪林弹雨，和心里再也回不去的故土 推理部分比较好猜，感觉唐探已经像柯南三选一一样有固定模式了，先是数线并进乱成一锅粥趁热喝了，尾声再打断一个什么发布会开始推理，法庭听证会记者发布会。。但就像柯南能写到一千多集再扯大家还是会看，春节档要哪天真没了唐探大概也会寂寞如雪。。最后这部真没什么登味儿，爱国情怀也克制 就像最后白人的餐桌后那巨大的佛首,2025-01-31 14:53:21
Nick,满洲镶黄旗亲贵怒与庆祝八国联军侵华的爱尔兰黑帮火并后临死挣扎着拉着ge命党人的裤角说：救中国…不是异于常人的大脑构造都想不出这神来之笔。,2025-01-30 21:12:42
QDQ.,很符合蛇年，虎头蛇尾的,2025-01-29 11:52:03
老羊,观后感：1周润发永远滴神，2白客演技在线，3落后就要挨打,2025-01-29 20:51:11
阿文,1900年的大清快亡了，那个年代是觉醒的年代，是有志之士满怀赤诚的爱国情怀与民族大义的年代。如果拍这个年代却不提这样的感情，那才是不可理解。,2025-01-30 17:51:06
晚不安,多年之后，面对众议员，周润发会回想起胡金铨那部未竟的遗作《华工血泪史》。不管他戏外对陈思诚的夸赞是否出于真心，《唐探1900》也终不过是另一部《澳门风云4》。五分嬉笑胡闹、两分推理、三分民族主义——直面档期的创作，能留下的无非只是一座影视主题乐园，琳琅满目但东倒西歪，很快便无人问津。唐探十年，只顾左右逢源，东游西逛，没有完成任何人物的成长。而真正的苦难，就如同片尾的历史照片一样成为点缀，成为创作者标榜自身的勋章。,2025-01-29 15:09:35
乌鸦火堂,从趣味到格局，还是很有料的。作为前传，跳出了第三部越来越庞杂的故事线，而且超越了前两部的格局。案件本身不算复杂，连环杀手案与时代背景融合，家国情怀和近乡情怯交互，主线故事和支线案件也有所交错，二者穿插，让电影内容非常饱满。 将冷静的悬疑与热闹的逗趣融合，《唐探》系列这一点是拿手好戏，整体节奏张驰有度，故事推进如上了发条一般。案件没有想象中的丰富，但断案和中医结合，中学为体+西学为用，不失为一种创新，阿福与阿贵很多互动场面也笑点十足。 “师夷长技，再撕不迟”，电影大量影射了灯塔国的当下种种举措，也饱含了希望与憧憬，立足世纪之初，展望百年之后，周润发仿佛小马哥附体，唐探组合溯源了唐人街的起点，结尾双彩蛋。,2025-01-29 13:05:49
simonfaye,太刻意煽动民族情绪了，太投机中美对立了，又臭又长，我中间都想刷手机了。甚至是结尾，就不能停在俩人在夕阳中爬坡说新年快乐吗？！,2025-01-30 00:31:44
invisible,中国人就这样一次又一次被陈思诚耍😄长辈看完又可以在饭桌骂老美了，刘昊然不仅可以演技一点不进步还能和喜欢的指南卖腐了,2025-01-29 11:39:55
正在输入···,可以看，推理部分偏弱，刘昊然和王宝强稍微有点儿卖肉，黄腔印象中没有，都有点儿不像陈思诚了。,2025-01-29 11:38:28
STC！,陈思诚的商业思维➕百年屈辱史背后的家国情怀➕逐渐俏皮的刘昊然，值得一看。不知道有些人为什么要在春节档合家欢导向的商业片里找文艺片的影子…不许人蹭爱国情怀，说又闹又俗，只能说这种人不适合过春节。😂,2025-01-29 13:53:30
荷荷荷,超出预期，说实话没抱着太大希望，完全冲着对这个ip的情怀看的，已经做好烂尾准备了，但看下来绝对值7-8分；有人说的爱国主义教育…um，我算从小挺反骨的性格了，吴京那些片子我就没打过高分，近代各种战役抗战类电影我也几乎不看。但1900的角度真不错，不是战狼模式，而是揭露了一段心酸历史，包裹着喜剧、悬疑外衣的悲剧内核，有哭有笑。选角很好，对我眼睛好，昊然的新皮很可爱，发哥和张新成的绅士感也很舒服；节奏紧凑，中间没有困倦疲惫感；其实内核还是挺有后劲儿的，悲凉色彩有点不适合春节氛围，还好两位主角人设可爱，有稍微化解。悬疑部分没太大意外，给地契的时候就秒猜到是他，但我依然愿意给这个分，毕竟这几年烂片太多，及格以上的好片真不多，不想太苛刻。,2025-01-30 22:17:56
老白,看豆瓣评论区真的想笑，电影就客观描述一下近代华人血泪史都不行了，某些人这是什么神奇脑回路机制？这么急？ 不行，看来我还真得打个好评，倒不是说陈思诚突然进化了，只是这样一部非常工整的时代大背景下“社会派推理”商业电影，放在当下这个抽象和比烂时代就突然伟光正了，而且能看到一堆人破防撒泼，那场外娱乐效果更强了。,2025-01-31 16:10:16
周乘一,建议陈思诚研究男男生子想怀自己怀，别老整男的得知亡妻怀孕就大崩溃的戏码了真恶心,2025-01-31 00:25:19
qiiu,抵制预制大杂烩式烂片，人人有责,2025-01-29 11:19:16
汤米,这次服了。陈思诚雄起了。,2025-01-29 11:56:42
kt,价值上上上，女人杀杀杀。资本，唉，美国，唉，党派之争，唉。我们男人就这么爱国，就这么感动，就这么悲愤！ 家里当官的白女真会爱上黄男吗#最中幻想#,2025-01-30 18:44:03
看点好的吧,喜剧探案吃上爱国饭，收拾收拾去春晚包饺子～,2025-01-29 13:07:06
发条渣子,明白陈思诚为什么不接着第三部拍续集了，想靠拍部前作 拉回一点口碑，赴美进修过的陈思诚果然不一样，这部加上八国联军侵华和辛亥革命的历史事件，让整部戏上升到了一个新的高度，喜剧、推理部分也很精彩。,2025-01-29 11:49:01
总有蓝天,抱着看烂片的心态去看了早场，结果还是被这出只会挠人胳肢窝的闹剧给创飞了，从开头的那一句“臭要饭的”就没绷住。悬疑和喜剧天生打架，而陈思诚的ego大到可以同时写好抢枪案和谋杀案，结果两个案件互相争夺焦点，哪一个也没讲好。悬疑推理在前半部电影几乎隐身，最后真相揭露非常儿戏（还一定有一个自作聪明的反转），设计的几个包袱大多也不响，反倒是处处投机，人物和情绪的转变没有任何过渡，一些时候观众甚至处于“有笑有泪”的量子叠加态，即哭笑不得。这导致整体的观感就像一盘馊了的预制菜大杂烩：悬疑喜剧、南南擦边、在美华工、民族情怀、印第安人、福尔摩斯，甚至还有美国队长4里的红浩克…《小丑2》里亚瑟不过是想把公检法变成他的马戏团，而陈思诚用马戏团一般滑稽的影像把所有观众变成了他的小丑。,2025-01-29 11:18:11
朝暮雪,这次的剧本像是原创的，因为这个案子的确太普通了，甚至让人看得很煎熬，恨不得开倍速。 爱丽丝的头上有木屑，然后给她家的栏杆一个特写，这个时候大家就猜到凶手是谁了，悬念瞬间瓦解，乐趣荡然无存，结果后面还有一个小时，让观众不得不在已知结局中苦苦煎熬。等待谜底揭晓的过程竟然很痛苦，悬疑片拍成这样太失败了。 剧情不够，爱国来凑，嘴上都是主义，心里全是生意。 去看个喜剧片还要被教育，更尴尬的是，故事发生在清朝，你让我去爱清朝？对不起，我无法共鸣。 拍个纯粹以娱乐为目的，不说教，不讲大道理的喜剧片就那么难吗？ 依然是陈思诚的基本操作，“他说什么？”“他说把妹妹给你”，秦福和阿鬼打滚，秦福问郑仕良是不是在和白振邦约会，就是喜欢制造这种笑点，陈思诚不会真的以为有人磕刘昊然和王宝强的CP吧？,2025-01-29 20:44:55
高詩遠,虽然依旧保持了唐探宇宙的爆笑喜剧色彩，一群喜剧人集结笑点真的很密！但喜剧之外又通过对排华法案背后阴谋的揭露，揭示了当时华人群体的困境与挣扎，引发深思。有一些处境也许到现在依旧存在，矛盾的本质在于对“外来人”的定义。王宝强与刘昊然的默契搭档再现，为影片增添不少看点。整体而言，这是一部融合了喜剧、动作与悬疑的佳作，值得一看。,2025-01-30 13:50:09
dais,唐探这个烂系列还要拍到什么时候，老太太裹脚布又臭又硬,2025-01-29 11:52:20
猪头小队长,陈思诚是一个合格的产品经理，贺岁片该有的元素都有了。在唐探的合格的故事框架基础上，又加入了更多的时下热门情绪。 btw: 不知道是不是我看的这个场次的问题，人声音轨有问题，不透，嗡嗡的就像是枪版的声音。,2025-01-29 12:02:53
安东,很有意思啊，好玩又好看，算是唐探系列的plus版吧。时代背景放到了风雨飘摇的1900年，虽然用喜剧形式消解了那段历史的沉重，但也很难不为岳云鹏那句“去……救中国”泪目。 以中医的“望闻问切”作为推理的皮，用魔术的障眼法作为推理的核，都是挺有创意的点子。给发哥的演出打满分，他真的可以无缝融入任何故事，亦庄亦谐，张弛有度，最后的法庭陈词气场十足，想不出还有谁能比他更适合这个角色。,2025-01-29 17:13:53
Andre,我朋友三分之一的时候猜出来开膛理由，后面跳水竟然和柯南XXX案一模一样。不过我觉得还行，比柯南近年来剧场版的编排都好，这个也强上价值是我没想到的。,2025-01-29 17:49:57
冬青again,我这辈子第一次给一部电影豆瓣一星。如果能给负分，我直接负分到底。最近正好在看《太后西奔》，刚毅，端王也不过如此。去年几起仇外恶性事件都被遮遮掩掩过去，现在还在煽动这种民族情绪，真的是坏到了极致。再说蠢。一个推理悬疑电影，从第一次看到尸体，就能盘出来整个事的来龙去脉，还费劲巴拉抻出一部电影来。再加上对印第安人的奇情化展示，莫名其妙地强行咯吱人，一点亮点也找不到啊。约翰库萨克也是晚节不保。一生黑！,2025-01-29 12:42:09
マクガフィン,平心而论，确实比《唐3》强点，但本质上还是胡闹。陈思诚这真是铁了心要吃官家饭了，吴京见了他都得敬礼。,2025-01-29 16:38:36
俞童童,打低于四星的国人没有良心,2025-01-30 23:30:59
20个小明≯,你看这绿水青山的像印第安大峡谷吗！？陈思诚真是搞这种煽风点火很有一套，整点民族情绪，爱国情怀，再加一堆烂梗包袱，齐活了！推理是啥？赶紧让路！,2025-01-30 22:36:57
豆友,看春节要到了，就临时随便拍两下拿出来割韭菜，真是可耻,2025-01-29 11:47:55
内陆飞鱼,革命火种传到旧金山，四海翻腾云水怒，五洲震荡风雷激。泰国、日本、米国都有分布了，如果下一部不是莫斯科胜利大会师，就不看了。,2025-01-29 14:33:31
武侠小王子,案件的设置蛮巧妙的，和时代背景融合得不错，剧情推进得很清楚，前面铺垫的线索后面都能扣得上，最后的反转也挺有冲击力的。看到真相浮出水面的时候，有一种酣畅淋漓的感觉。,2025-01-29 20:47:38
KafkaWong,系列平均水平，就是突然主旋律起来了……颇有点早些年徐克黄飞鸿的感觉，法庭那段不由得又联想到高群书的东京审判。初恋脸刘昊然，校园男神张新成，人夫感白客，加起来都没有发哥帅，上次get到发哥的帅还是无双。,2025-01-30 00:29:59
女神的秋裤,超出期待，台词是真敢说啊。不管是搞笑还是案件悬疑推理都超越前作，反转精彩，最让人意外的是故事背景融入了家国情怀，寥寥数笔直戳那段历史的核心，搞笑之余让人感动，在娱乐中让人瞥见时代的洪流和历史的年轮，情感更加复杂和饱满，也让电影更有意义。,2025-01-30 20:30:06
阿德,还是那个味，最重要有我发哥！,2025-01-30 00:52:19
光头强,爱我们的国家，把过去苦难的历史拍到大荧幕上，难道成为了不对的事情了吗？我真的搞不懂啊,2025-01-30 00:59:46
哪吒男,纯熟的工业产品，做什么都不会太差，就像海底捞不会做很难吃的东西，所有口味问题都不是能力，而是有意识的，他想做，他要做，这不是创作是投资，战狼这碗饭还好吃吗？很显然投资失败了。（陈思诚绝对有躁郁症，所有演员都在不停怒吼，好累,2025-01-30 23:09:56
Mirar,最下流的拍法。奶头乐式笑料+仇恨教育式主旋律+老中特色父慈子孝，狠狠收割基本盘。廉价的电影配廉价的观众,2025-01-30 18:07:30
Mr. Infamous,诚师级别的异性恋，就别一而再再而三地擦边男男了。可以的话，春风沉醉换人重拍吧。,2025-01-29 12:04:00
南条寺夢路,为什么不能掺杂宏大叙事了？一群CNY和LNY要逼逼半天的群体还装起来了,2025-01-30 09:24:22
echono（在云端,在电影院看的一肚子火，现在竟然不知道从何骂起…意识形态拿捏了，讽刺老美有一手的，刘昊然出道还有演技的现在直接撕护照式破罐子破摔，除了白客的演技丝滑到完全看不出在演，稀碎的剧情和半个小时也没等到一个的笑点让隔壁邻座没戴眼镜看不清的一对阿姨都懒得持续转播。 唐探粉这次再也无法溺爱，没有菜可以不上桌而不是端💩 蛇年第一部电影拉这么大，霉运快走开🙏 ps买了预售也想骂csc抢钱,2025-01-29 11:31:09
朝阳区陆依萍,好好看啊，观影氛围太快乐了，我妈全程都在笑也跟着一起分析，互动感很强，春节档最合家欢的一部！故事上，节奏飞起，笑点自然，毫不废话，开篇直入旧金山发生的“华人开膛手杰克案”，再借由中医「望闻问切」破案，层层递进，抽丝剥茧，案件背后，更有了家国情怀的情感格局！有意思的是，唐探这个系列还在逐渐拓宽自己的边界，从喜剧+悬疑到喜剧+悬疑+历史，唐探宇宙的含金量还在上升🔝，期待唐探系列后续故事！必须要说一句，发哥真的是太帅了！！！,2025-01-29 21:02:47
妖灵妖,红色魔术师的奇遇,2025-01-29 19:51:25
牛奶很忙,留得金山在，不怕主义深，诚师的艺术方法论：把《血色将至》当春晚拍,2025-01-29 15:53:04
阿暖,陈思诚是中国最大的电信诈骗，放我出缅甸,2025-01-29 12:50:34
陆小鸟,案件的真相太过套路，毫无破案感；喊着反歧视的口号给原住民包办婚姻，娱乐性建立在偏见上；煽动民族情绪但其实两边不得罪，“既然中国好那为啥不回去”也让他说了。总体而言，适合中美对账后沾沾自喜的观众。,2025-01-29 20:14:32
大旗虎皮,历史最差唐探,2025-01-29 19:23:40
豆友_sEPFeDQlo,七分左右吧，不能再高了，感觉这次整体节奏太乱了，既有探案的部分又有政治方面的部分，把电影的时间给分散了，导致两边都没讲好，而且对于印第安人的刻画难道不是太过于刻板印象了吗？一方面说讨厌别人用刻板印象来看我们，却又用刻板印象来看别人，而且大年初一让观众看中国人被欺负你是认真的吗？不过周润发的演技是真的好，这算是给我印象最深刻的了,2025-01-29 11:47:31
瑷小麟,朋友们冲吧！上高度了～笑中带泪，探案已经不是重点，诙谐的方法写中华崛起的苦难，写革命的意义，有点天行健前传的感觉。,2025-01-29 11:49:03
为什么不快乐呢,意料之中的难看和无聊，坐在电影院里睡着了……,2025-01-29 11:26:24
平凡之路,“那才是世上最伟大的魔术。”,2025-01-29 23:39:23
水星七,加一颗星，为我和刘昊然复了一半的婚。说真的陈思成是不是很想去导献礼片啊，这部应该国庆再上🫡,2025-01-30 23:08:50
小王,法庭辩论1星，广场刑事辩论1星，其他加起来三星，很不错。 “要是自己国家好，愿意跑到美国来啊”，唉,2025-01-29 12:42:52
mz未来178,唐探系列还能再拍在座各位都有责任,2025-01-29 14:51:29
鬈大毛毛,从此中国有了属于我们自己的屎尿屁电影。,2025-01-29 15:00:17
出门一下威夷,对于csc，我不相信他有爱国情怀或爱民之心，只好说他确实有下一盘大棋的能力，讨好了上面又安抚了下面。一贯的套路模式笑点，所有人为主角开路。这种为了作者目的不顾一切，假的让人笑一下都想扇自己一巴掌的电影，是春节档的力推项目。结尾要喊一句电影真好我爱电影！我看中国电影院真的完了。修铁路的工人，有人那么瘦。在这部片子里，他们是群演，他们的生活在哪里，我也不敢用电影来碰。我希望我能建设这个社会,2025-01-29 11:40:32
直升机小蹦豆儿,法庭里坐的全是男人，干活的也全是男人。本人Google1900年的法庭照都有很多女性，就更不用说了低贱劳动力以及被卖成妓女的妇女了。电影里说了人人平等，女人都没来得及成为人人中的一部分就先被你们这种男的吃掉了。陈思诚，愿你像爱贩卖情怀一样爱女。,2025-01-30 16:13:29
Z,气氛都烘托到这份上了，看来这一仗不得不打了,2025-01-30 18:38:00
m89,陈思诚的蜜汁自信到底是从哪里来的呢？大概就是只要提前打点好春节档的档期，到时候放坨屎在银幕上也会有人埋单吧……,2025-01-29 13:35:22
黄焖鸡,在我这里岳云鹏丟刀那段就值五星，电影里每个老中人都基本瘦骨嶙峋看的人 唉,2025-01-29 18:47:11
hjh20050505,大过年的，看了一个多小时的说教，既不搞笑，又特别沉重，还硬灌输一些大道理。最关键的对历史的看法太浅薄了，只停留在民族情绪的层面，而且片面，缺乏深度，所以也不能算历史片，又不搞笑，又不悬疑。只为了迎合年轻人的反美情绪吗？,2025-01-29 21:23:58
夜海的日记簿,含男量100%的老登电影，经典家国情怀民族主义，最后还来一场看起来激动人心的演讲，搞煽情那一套。剧情比起以往节奏和逻辑也是稀碎，也没有之前好笑。看得出来某些成分反美了，也看得出来多么厌女了。,2025-01-31 00:14:17
直升机小蹦豆儿,法庭里坐的全是男人，干活的也全是男人。本人Google1900年的法庭照都有很多女性，就更不用说了低贱劳动力以及被卖成妓女的妇女了。电影里说了人人平等，女人都没来得及成为人人中的一部分就先被你们这种男的吃掉了。陈思诚，愿你像爱贩卖情怀一样爱女。,2025-01-30 16:13:29
邓不灵,杂乱得像泔水，属于是直男看了会高潮的片,2025-01-31 12:46:49
武侠小王子,案件的设置蛮巧妙的，和时代背景融合得不错，剧情推进得很清楚，前面铺垫的线索后面都能扣得上，最后的反转也挺有冲击力的。看到真相浮出水面的时候，有一种酣畅淋漓的感觉。,2025-01-29 20:47:38
